City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Cabo San Lucas,MX,80.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
6,Rikitea,PF,78.58,overcast clouds,-23.1203,-134.9692,Pension Maro'i
19,Kirakira,SB,78.82,overcast clouds,-10.4544,161.9205,SanBiz Lodge
28,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
29,Kapaa,US,75.0,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
35,Manicore,BR,88.07,broken clouds,-5.8092,-61.3003,Hotel Durval
41,Coahuayana,MX,84.2,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
46,Martapura,ID,78.8,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
50,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
54,Tahta,EG,86.0,clear sky,26.7693,31.5021,El Salam Hotel
56,Lodwar,KE,89.08,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
58,Lantana,US,84.99,broken clouds,26.5867,-80.052,Eau Palm Beach Resort & Spa
61,Georgetown,MY,82.0,scattered clouds,5.4112,100.3354,Cititel Penang
63,Salalah,OM,82.29,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
64,Bathsheba,BB,86.0,few clouds,13.2167,-59.5167,Atlantis Hotel
66,Victoria,HK,77.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
67,Saint George,US,77.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
75,Maraa,BR,89.46,scattered clouds,-1.8333,-65.3667,
77,Hithadhoo,MV,83.5,scattered clouds,-0.6,73.0833,Scoop Guest House
94,Olinda,BR,82.4,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
95,Butaritari,KI,82.44,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
96,Gambela,ET,77.2,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
97,Manggar,ID,81.0,scattered clouds,-2.8833,108.2667,Guest Hotel
98,Cap Malheureux,MU,79.0,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
99,Avarua,CK,78.8,few clouds,-21.2078,-159.775,Paradise Inn
102,Dingle,PH,76.37,light rain,10.9995,122.6711,SEGAYA PROPERTY
104,Faanui,PF,80.01,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
105,Port-Gentil,GA,82.4,broken clouds,-0.7193,8.7815,Fengshui Residence
106,Bubaque,GW,78.35,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
108,Phrae,TH,86.0,overcast clouds,18.0833,100.0,Gingerbread Cottage Resort & Spa
112,Puerto Ayora,EC,82.4,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
114,Saint-Philippe,RE,78.8,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
119,Ahmadpur Sial,PK,86.0,haze,30.6754,71.7483,Khan Mobile Shop
120,Atuona,PF,80.65,scattered clouds,-9.8,-139.0333,Villa Enata
122,Teguise,ES,75.2,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
124,Arraial Do Cabo,BR,78.8,few clouds,-22.9661,-42.0278,Pousada Porto Praia
128,Hit,IQ,86.99,broken clouds,33.6416,42.8251,صالون زيرو
130,Itarema,BR,83.8,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
