City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zhigansk,RU,66.7697,123.3711,33.19,98,100,10.04,light snow
1,Sisimiut,GL,66.9395,-53.6735,41.95,60,4,5.46,clear sky
2,Chokurdakh,RU,70.6333,147.9167,-15.03,98,15,3.85,few clouds
3,Diego De Almagro,CL,-26.3667,-70.05,72.66,28,0,10.83,clear sky
4,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,88,75,17.27,broken clouds
5,Cabo San Lucas,MX,22.8909,-109.9124,80.6,41,1,8.05,clear sky
6,Rikitea,PF,-23.1203,-134.9692,78.58,70,99,16.15,overcast clouds
7,Coihaique,CL,-45.5752,-72.0662,53.6,76,90,3.44,overcast clouds
8,Hilo,US,19.7297,-155.09,69.8,83,90,4.61,moderate rain
9,Cape Town,ZA,-33.9258,18.4232,64.0,77,0,13.8,clear sky
10,Thika,KE,-1.0333,37.0693,69.8,78,40,5.75,light rain
11,Aklavik,CA,68.2191,-135.0107,30.2,69,20,2.3,few clouds
12,Kaitangata,NZ,-46.2817,169.8464,43.0,89,45,1.99,scattered clouds
13,Tasiilaq,GL,65.6145,-37.6368,35.6,80,75,10.36,light rain
14,Pacific Grove,US,36.6177,-121.9166,57.99,62,90,4.32,overcast clouds
15,Albany,US,42.6001,-73.9662,69.01,17,57,5.01,broken clouds
16,Punta Arenas,CL,-53.15,-70.9167,50.0,76,96,5.75,overcast clouds
17,Thompson,CA,55.7435,-97.8558,23.0,54,90,4.18,light snow
18,Lebu,CL,-37.6167,-73.65,57.81,68,2,17.27,clear sky
19,Kirakira,SB,-10.4544,161.9205,78.82,82,99,1.68,overcast clouds
20,Dikson,RU,73.5069,80.5464,11.19,88,88,15.68,overcast clouds
21,Itoman,JP,26.1247,127.6694,68.0,83,40,10.36,light rain
22,Busselton,AU,-33.65,115.3333,53.01,88,0,1.86,clear sky
23,San Ramon,US,37.7799,-121.978,60.01,58,20,3.44,few clouds
24,Ostersund,SE,63.1792,14.6357,34.0,47,40,12.66,scattered clouds
25,San Luis,AR,-33.295,-66.3356,68.38,41,25,10.51,scattered clouds
26,Vaini,TO,-21.2,-175.2,69.8,100,75,2.3,broken clouds
27,Yellowknife,CA,62.456,-114.3525,16.0,57,40,12.66,scattered clouds
28,Mahebourg,MU,-20.4081,57.7,78.8,89,75,14.97,light rain
29,Kapaa,US,22.0752,-159.319,75.0,73,75,17.27,broken clouds
30,Balykshi,KZ,47.0667,51.8667,55.4,88,0,11.18,clear sky
31,Mount Gambier,AU,-37.8333,140.7667,48.2,100,90,2.66,fog
32,Sao Filipe,CV,14.8961,-24.4956,71.96,74,60,14.83,broken clouds
33,Provideniya,RU,64.3833,-173.3,33.84,86,89,1.07,overcast clouds
34,Vestmanna,FO,62.1564,-7.1664,50.0,62,97,3.44,overcast clouds
35,Manicore,BR,-5.8092,-61.3003,88.07,65,77,3.51,broken clouds
36,Talnakh,RU,69.4865,88.3972,30.56,97,100,11.05,light snow
37,Sain Alto,MX,23.5833,-103.25,72.52,8,4,2.44,clear sky
38,Carnarvon,AU,-24.8667,113.6333,64.4,88,0,2.3,clear sky
39,Saint-Augustin,CA,51.226,-58.6502,38.61,79,92,11.95,overcast clouds
40,Ushuaia,AR,-54.8,-68.3,55.4,58,40,16.11,scattered clouds
41,Coahuayana,MX,18.7333,-103.6833,84.2,34,40,7.52,scattered clouds
42,Andenes,NO,69.3143,16.1194,36.0,64,90,12.66,overcast clouds
43,Nome,US,64.5011,-165.4064,32.0,75,3,1.01,clear sky
44,Suntar,RU,62.1444,117.6319,33.1,90,60,3.09,broken clouds
45,Lata,PT,40.1629,-8.3327,66.0,88,100,5.68,overcast clouds
46,Martapura,ID,-3.4167,114.85,78.8,83,90,3.44,overcast clouds
47,Ahipara,NZ,-35.1667,173.1667,59.05,82,69,8.79,broken clouds
48,San Joaquin,US,37.9333,-121.3011,61.0,58,20,8.05,few clouds
49,Alofi,NU,-19.0595,-169.9187,71.6,100,69,1.14,light rain
50,Souillac,MU,-20.5167,57.5167,78.8,89,75,14.97,light rain
51,Tuatapere,NZ,-46.1333,167.6833,50.0,75,88,8.99,light rain
52,Luderitz,NA,-26.6481,15.1594,62.01,87,1,5.44,clear sky
53,Nantucket,US,41.2835,-70.0995,59.0,47,1,17.27,clear sky
54,Tahta,EG,26.7693,31.5021,86.0,16,0,16.11,clear sky
55,Wageningen,NL,51.9667,5.6667,52.0,43,90,11.5,overcast clouds
56,Lodwar,KE,3.1191,35.5973,89.08,41,56,16.71,broken clouds
57,Mataura,NZ,-46.1927,168.8643,50.0,75,59,8.99,broken clouds
58,Lantana,US,26.5867,-80.052,84.99,65,75,20.71,broken clouds
59,Esperance,AU,-33.8667,121.9,59.0,77,88,12.66,overcast clouds
60,New Norfolk,AU,-42.7826,147.0587,50.0,83,99,2.91,overcast clouds
61,Georgetown,MY,5.4112,100.3354,82.0,89,40,4.61,scattered clouds
62,Tiksi,RU,71.6872,128.8694,30.79,93,100,12.12,overcast clouds
63,Salalah,OM,17.0151,54.0924,82.29,75,27,6.98,scattered clouds
64,Bathsheba,BB,13.2167,-59.5167,86.0,54,20,19.57,few clouds
65,Lompoc,US,34.6391,-120.4579,53.6,71,33,8.05,scattered clouds
66,Victoria,HK,22.2855,114.1577,77.0,86,45,1.01,scattered clouds
67,Saint George,US,37.1041,-113.5841,77.0,17,1,11.5,clear sky
68,Qaanaaq,GL,77.484,-69.3632,28.17,66,99,7.29,overcast clouds
69,Bredasdorp,ZA,-34.5322,20.0403,55.4,88,96,4.61,overcast clouds
70,Monchegorsk,RU,67.9397,32.8739,35.01,100,100,6.06,overcast clouds
71,Tenkodogo,BF,11.78,-0.3697,98.17,21,60,13.53,broken clouds
72,Yar-Sale,RU,66.8333,70.8333,27.03,93,94,3.71,overcast clouds
73,Hasaki,JP,35.7333,140.8333,50.0,100,20,3.44,fog
74,Jalu,LY,29.0331,21.5482,72.86,43,28,26.64,scattered clouds
75,Maraa,BR,-1.8333,-65.3667,89.46,57,29,5.66,scattered clouds
76,Hofn,IS,64.2539,-15.2082,47.01,80,100,5.93,overcast clouds
77,Hithadhoo,MV,-0.6,73.0833,83.5,70,46,7.81,scattered clouds
78,Haines Junction,CA,60.7522,-137.5108,37.4,48,13,2.8,few clouds
