City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kurmanayevka,RU,52.5093,52.0675,45.37,93,100,3.78,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,42.8,100,75,3.44,broken clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,77.0,96,11,5.01,few clouds
3,Butaritari,KI,3.0707,172.7902,81.82,75,100,7.56,light rain
4,Nikolskoye,RU,59.7035,30.7861,39.0,93,75,4.47,broken clouds
5,Okhotsk,RU,59.3833,143.3,32.0,56,9,13.8,clear sky
6,Rikitea,PF,-23.1203,-134.9692,78.98,74,100,15.77,overcast clouds
7,Grindavik,IS,63.8424,-22.4338,46.4,93,75,21.85,broken clouds
8,Port Blair,IN,11.6667,92.75,89.6,66,40,5.75,scattered clouds
9,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.93,98,35,0.94,scattered clouds
10,Hamilton,US,39.1834,-84.5333,48.99,81,1,3.58,clear sky
11,Ancud,CL,-41.8697,-73.8203,48.0,100,40,3.04,scattered clouds
12,Birsk,RU,55.4211,55.5428,44.71,88,100,10.29,overcast clouds
13,Biak,ID,-0.9131,122.8766,81.99,70,96,4.59,overcast clouds
14,New Norfolk,AU,-42.7826,147.0587,62.01,69,75,4.0,broken clouds
15,Corn Island,NI,12.1694,-83.0418,80.49,70,53,12.97,broken clouds
16,Hobart,AU,-42.8794,147.3294,62.6,45,40,12.66,scattered clouds
17,Sharjah,AE,25.3573,55.4033,93.2,12,0,3.44,clear sky
18,Busselton,AU,-33.65,115.3333,80.01,47,20,4.0,few clouds
19,Sarankhola,BD,22.3082,89.7897,103.98,13,1,5.12,clear sky
20,Marawi,PH,7.9986,124.2928,87.01,72,100,5.99,overcast clouds
21,Chuy,UY,-33.6971,-53.4616,64.08,92,44,8.72,scattered clouds
22,Broken Hill,AU,-31.95,141.4333,69.8,35,34,9.22,scattered clouds
23,Oranjemund,NA,-28.55,16.4333,57.7,90,9,4.72,clear sky
24,Hilo,US,19.7297,-155.09,75.2,73,90,5.93,light rain
25,Honggang,CN,46.4667,124.8667,54.73,10,100,14.65,overcast clouds
26,Hermanus,ZA,-34.4187,19.2345,55.0,90,98,7.05,overcast clouds
27,Mahebourg,MU,-20.4081,57.7,78.8,94,75,13.8,light rain
28,Saint-Pierre,RE,-21.3393,55.4781,82.4,69,0,17.27,light rain
29,Saint-Philippe,RE,-21.3585,55.7679,82.4,69,0,17.27,moderate rain
30,Kovdor,RU,67.5662,30.4758,30.61,95,100,10.65,snow
31,Pokhvistnevo,RU,53.6524,52.1274,45.21,93,100,8.43,light rain
32,Kaitangata,NZ,-46.2817,169.8464,53.01,67,84,1.99,broken clouds
33,Bluff,NZ,-46.6,168.3333,53.01,79,41,3.0,scattered clouds
34,Castro,BR,-24.7911,-50.0119,52.61,92,7,1.95,clear sky
35,Kitimat,CA,54.0524,-128.6534,48.0,72,98,2.37,overcast clouds
36,Tasiilaq,GL,65.6145,-37.6368,37.4,60,75,23.02,light snow
37,Qaanaaq,GL,77.484,-69.3632,13.28,73,94,7.18,overcast clouds
38,Port Alfred,ZA,-33.5906,26.891,63.28,75,0,12.33,clear sky
39,Bredasdorp,ZA,-34.5322,20.0403,42.8,93,98,2.3,overcast clouds
40,Albany,US,42.6001,-73.9662,44.01,70,1,5.75,clear sky
41,Kathua,IN,32.3667,75.5167,80.24,25,0,1.19,clear sky
42,Dikson,RU,73.5069,80.5464,31.87,98,100,14.07,light snow
43,Yarada,IN,17.65,83.2667,89.6,62,31,4.61,haze
44,Sechura,PE,-5.5569,-80.8222,70.36,73,11,13.38,few clouds
45,Yumen,CN,40.2833,97.2,53.73,32,80,4.85,broken clouds
46,Ushuaia,AR,-54.8,-68.3,41.0,93,75,3.44,broken clouds
47,Acarau,BR,-2.8856,-40.12,77.07,88,65,8.72,broken clouds
48,Guanica,PR,17.9716,-66.908,78.01,87,3,6.89,clear sky
49,Zonguldak,TR,41.25,31.8333,52.41,74,100,0.69,overcast clouds
50,Qasigiannguit,GL,68.8193,-51.1922,28.4,69,100,1.14,overcast clouds
51,Saldanha,ZA,-33.0117,17.9442,51.8,82,88,6.22,overcast clouds
52,Cherskiy,RU,68.75,161.3,28.51,89,100,5.97,overcast clouds
53,Kodiak,US,57.79,-152.4072,41.0,81,90,8.05,overcast clouds
54,Atuona,PF,-9.8,-139.0333,80.44,76,22,23.76,few clouds
55,Wanaka,NZ,-44.7,169.15,55.99,64,86,1.99,overcast clouds
56,Fare,PF,-16.7,-151.0167,80.67,71,100,10.33,overcast clouds
57,Anna Paulowna,NL,52.862,4.834,43.0,87,90,3.44,overcast clouds
58,Port Macquarie,AU,-31.4333,152.9167,72.0,50,42,1.99,scattered clouds
59,Egvekinot,RU,66.3167,-179.1667,29.77,84,100,2.68,overcast clouds
60,Geraldton,AU,-28.7667,114.6,86.0,28,3,11.5,clear sky
61,Vanino,RU,49.0869,140.2543,38.41,60,91,11.61,overcast clouds
62,Miajadas,ES,39.1513,-5.9084,52.0,82,71,5.01,broken clouds
63,Ghanzi,BW,-21.5667,21.7833,56.68,40,0,5.55,clear sky
64,Berlevag,NO,70.8578,29.0864,32.27,82,100,11.81,light snow
65,Avarua,CK,-21.2078,-159.775,78.8,78,75,10.36,broken clouds
66,Istria,RO,44.5667,28.7167,46.4,93,0,2.3,clear sky
67,Ribeira Grande,PT,38.5167,-28.7,58.5,78,99,28.41,overcast clouds
68,Georgetown,MY,5.4112,100.3354,86.0,74,40,5.75,scattered clouds
69,Arraial Do Cabo,BR,-22.9661,-42.0278,72.21,82,28,14.74,scattered clouds
70,Saint Helens,GB,53.45,-2.7333,46.0,65,100,10.36,overcast clouds
71,Pinega,RU,64.7001,43.3936,49.15,77,100,9.73,overcast clouds
72,Khatanga,RU,71.9667,102.5,33.3,97,100,17.74,overcast clouds
73,Hornepayne,CA,49.2138,-84.7705,35.42,96,100,6.04,overcast clouds
74,Faanui,PF,-16.4833,-151.75,80.62,73,100,11.16,overcast clouds
75,Cape Town,ZA,-33.9258,18.4232,61.0,88,0,6.91,clear sky
76,Bereda,ES,43.2686,-7.5406,55.0,100,98,7.0,light rain
77,Lamu,KE,-2.2717,40.902,81.09,80,30,8.23,light rain
78,Lingao,CN,19.9103,109.6859,90.9,53,1,3.18,clear sky
79,Carnarvon,AU,-24.8667,113.6333,82.4,54,1,9.22,clear sky
80,Lasa,IT,46.6166,10.7002,44.01,75,0,4.61,clear sky
81,Yatou,CN,37.15,122.3833,50.79,92,100,14.97,overcast clouds
82,Gilgit,PK,35.9221,74.3087,53.38,18,0,3.27,clear sky
83,Codrington,AU,-38.2667,141.9667,60.39,71,70,12.91,broken clouds
84,East London,ZA,-33.0153,27.9116,59.0,82,0,3.44,clear sky
85,Tongchuan,CN,35.0806,109.0897,50.18,89,100,11.05,light rain
86,Sri Aman,MY,1.2376,111.4621,93.2,59,40,2.3,scattered clouds
87,Hirara,JP,24.8,125.2833,78.8,69,40,19.57,scattered clouds
88,Vila Velha,BR,-20.3297,-40.2925,71.6,88,40,2.3,scattered clouds
89,Iqaluit,CA,63.7506,-68.5145,30.2,100,90,8.05,light snow
90,Narsaq,GL,60.9167,-46.05,37.4,75,1,5.75,clear sky
91,Mudanjiang,CN,44.5833,129.6,41.31,85,100,8.19,light rain
